depthwise_convolution_3x3_quantized_nhwc_192_28_28_192_14_QASYMM8;12;7;2
batch_normalization_layer_F16_576_14_14_nhwc;2;14;1
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_144_56_56_144_56_QASYMM8;12;7;4
interleave4x4_3d_f32_7680_7_1_1;2;13;1
gemm_f32_7_160_7_1_576;2;2;1
gemm_f32_1_1001_1_1_1280;6;1;1
batch_normalization_layer_F32_320_7_7_nhwc;2;7;7
gemmlowp_reshaped_3do_qasymm8_28_32_3072;12;13;1
gemm_f32_14_576_14_1_96;8;4;5
gemmlowp_offset_contribution_quantize_down_fixedpoint_1001_1_1;12;1;1
batch_normalization_layer_F32_960_7_7_nhwc;3;1;7
gemm_f16_112_16_112_1_32;2;1;1
interleave4x4_qasymm8_108_3136_1_1;7;5;1
batch_normalization_layer_F32_144_28_28_nhwc;1;7;4
gemm_reshaped_3do_f32_7_320_7_1_15360;15;14;1
gemm_f16_28_32_28_1_144;2;7;7
batch_normalization_layer_F32_1280_7_7_nhwc;2;1;7
depthwise_convolution_3x3_nhwc_192_28_28_192_14_F32;8;14;2
batch_normalization_layer_F32_64_14_14_nhwc;2;7;7
gemm_f32_14_64_14_1_192;2;2;7
gemmlowp_reshaped_3do_qasymm8_56_144_384;12;16;1
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_192_28_28_192_28_QASYMM8;12;1;4
interleave4x4_3d_qasymm8_640_13_1_1;12;16;1
depthwise_convolution_3x3_nhwc_stride1_144_56_56_144_56_F16;12;1;1
batch_normalization_layer_F32_192_14_14_nhwc;3;14;2
elementwise_operation_ADD_f32_96_14_saturate_nhwc;1;1;2
gemm_f32_7_160_7_1_960;2;2;1
gemm_f16_14_384_14_1_64;2;4;1
gemmlowp_reshaped_3do_qasymm8_14_64_3072;4;7;1
gemm_f32_7_960_7_1_160;12;2;7
gemm_reshaped_3do_f16_7_1280_7_1_10240;2;13;1
gemm_f32_14_64_14_1_384;2;2;7
elementwise_operation_ADD_f32_32_28_saturate_nhwc;1;1;2
pooling_layer_f32_nhwc_1_1_1280_nhwc;2;1;1
batch_normalization_layer_F16_192_14_14_nhwc;2;7;1
gemm_f32_28_32_28_1_192;16;2;8
depthwise_convolution_3x3_nhwc_stride1_32_112_112_32_112_F16;2;7;2
gemmlowp_reshaped_3do_qasymm8_7_1280_5120;4;7;1
gemm_f16_14_96_14_1_576;2;2;7
elementwise_operation_ADD_quantized_qasymm8_160_7_saturate_nhwc;1;12;7
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_32_112_112_32_112_QASYMM8;4;3;8
batch_normalization_layer_F32_16_112_112_nhwc;2;14;1
gemm_f32_14_96_14_1_576;2;2;7
gemmlowp_offset_contribution_quantize_down_fixedpoint_24_56_56;6;14;2
pooling_layer_qasymm8_nhwc_1_1_1280_nhwc;16;1;1
depthwise_convolution_3x3_nhwc_stride1_144_56_56_144_56_F32;8;14;2
gemm_reshaped_3do_f32_7_1280_7_1_5120;2;7;1
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_960_7_7_960_7_QASYMM8;12;1;7
im2col3x3_nhwc_qasymm8_1_576_36864_nhwc;8;5;1
interleave4x4_3d_qasymm8_3840_13_1_1;12;13;1
elementwise_operation_ADD_f16_24_56_saturate_nhwc;2;1;1
batch_normalization_layer_F16_32_112_112_nhwc;2;2;7
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_576_14_14_576_14_QASYMM8;9;7;1
gemm_f32_2304_64_36_1_64;2;12;1
depthwise_convolution_3x3_nhwc_stride1_960_7_7_960_7_F16;12;4;2
gemm_f16_28_192_28_1_32;2;4;2
gemmlowp_qasymm8_1_1001_1280;14;1;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_576_14_14;2;7;1
gemm_f16_56_144_56_1_24;7;15;1
batch_normalization_layer_F32_32_28_28_nhwc;2;14;1
gemmlowp_reshaped_3do_qasymm8_28_32_2304;16;11;1
gemm_f16_14_64_14_1_192;2;2;7
gemmlowp_offset_contribution_quantize_down_fixedpoint_32_28_28;9;8;2
gemm_f32_14_384_14_1_64;12;4;2
depthwise_convolution_3x3_quantized_nhwc_576_14_14_576_7_QASYMM8;9;7;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_32_112_112;10;4;3
batch_normalization_layer_F16_96_14_14_nhwc;1;7;1
elementwise_operation_ADD_quantized_qasymm8_96_14_saturate_nhwc;13;8;1
gemm_f32_112_16_112_1_32;4;1;1
gemmlowp_offset_contribution_quantize_down_fixedpoint_192_28_28;6;7;1
depthwise_convolution_3x3_nhwc_stride1_192_28_28_192_28_F32;2;7;2
gemmlowp_reshaped_3do_qasymm8_112_16_512;5;4;1
depthwise_convolution_3x3_nhwc_stride1_192_28_28_192_28_F16;6;7;2
gemmlowp_reshaped_3do_qasymm8_7_160_15360;9;15;1
gemm_f32_112_96_112_1_16;2;2;2
gemmlowp_reshaped_3do_qasymm8_14_576_1536;9;7;1
interleave4x4_qasymm8_36_9216_1_1;3;6;1
interleave4x4_3d_qasymm8_128_196_1_1;13;3;1
gemm_f16_14_96_14_1_384;1;4;2
gemmlowp_reshaped_3do_qasymm8_28_192_512;12;14;1
batch_normalization_layer_F32_96_56_56_nhwc;3;4;1
gemm_f32_28_192_28_1_32;11;8;4
gemmlowp_reshaped_3do_qasymm8_112_32_432;15;1;1
interleave4x4_3d_qasymm8_128_3136_1_1;4;7;1
elementwise_operation_ADD_quantized_qasymm8_64_14_saturate_nhwc;2;7;1
elementwise_operation_ADD_quantized_qasymm8_24_56_saturate_nhwc;2;14;2
depthwise_convolution_3x3_nhwc_stride1_384_14_14_384_14_F32;12;7;1
elementwise_operation_ADD_f32_24_56_saturate_nhwc;2;1;1
gemmlowp_reshaped_3do_qasymm8_56_24_1536;6;2;1
elementwise_operation_ADD_f16_32_28_saturate_nhwc;7;2;4
interleave4x4_3d_qasymm8_384_784_1_1;4;1;1
depthwise_convolution_3x3_nhwc_stride1_960_7_7_960_7_F32;16;6;2
interleave4x4_3d_qasymm8_2304_13_1_1;16;15;1
batch_normalization_layer_F32_384_14_14_nhwc;2;7;2
interleave4x4_3d_qasymm8_1280_13_1_1;2;13;1
gemm_f16_112_96_112_1_16;2;2;4
gemm_f16_7_160_7_1_576;12;4;7
batch_normalization_layer_F32_576_14_14_nhwc;2;7;2
gemmlowp_offset_contribution_quantize_down_fixedpoint_144_56_56;12;7;1
depthwise_convolution_3x3_quantized_dot8_nhwc_stride1_384_14_14_384_14_QASYMM8;12;1;7
gemmlowp_reshaped_3do_qasymm8_14_64_6144;4;7;1
interleave4x4_3d_qasymm8_768_196_1_1;12;1;1
depthwise_convolution_3x3_quantized_nhwc_144_56_56_144_28_QASYMM8;12;7;1
gemmlowp_reshaped_3do_qasymm8_7_960_2560;12;13;1
